glac_id,glac_name,x,y,index_righ,POLITICAL_,NAME,WGMS_ID,PRIM_CLASS,GLIMS_ID
G212063E61198N,Wellesley Glacier,-147.937,61.198,793,US,WELLESLEY,164,5,
G229165E57087N,None,-130.835,57.087,63,CA,ALEXANDER,32,5,
G212622E61302N,Yale Glacier,-147.378,61.302,804,US,YALE,159,5,
G212557E61133N,Brilliant Glacier,-147.443,61.133,699,US,BRILLIANT,157,5,
G211320E60526N,None,-148.68,60.526,708,US,CLAREMONT NORTH,176,5,
G212113E61220N,Vassar Glacier,-147.887,61.22,792,US,VASSAR,163,5,
G229978E56520N,None,-130.022,56.52,90,CA,TIM WILLIAMS,70,5,
G229994E56525N,None,-130.006,56.525,90,CA,TIM WILLIAMS,70,5,
G226682E58367N,Wright Glacier,-133.318,58.367,801,US,WRIGHT,127,5,
G223301E58723N,Hugh Miller Glacier,-136.699,58.723,737,US,HUGH MILLER,142,5,
G211288E60799N,Learnard Glacier,-148.712,60.799,743,US,LEARNARD,173,5,
G222222E59694N,None,-137.778,59.694,86,CA,TATS,72,5,
G213525E61251N,Shoup Glacier,-146.475,61.251,767,US,SHOUP,155,5,
G212728E63543N,West Fork Glacier,-147.272,63.543,794,US,WEST FORK,184,5,
G211194E60700N,Portage Glacier,-148.806,60.7,758,US,PORTAGE,174,5,
G211374E60654N,None,-148.626,60.654,742,US,LAWRENCE,95,5,
G214954E60536N,Saddlebag Glacier,-145.046,60.536,762,US,SADDLEBAG,108,5,
G211360E60635N,Marquette Glacier,-148.64,60.635,747,US,MARQUETTE,96,5,
G228987E57017N,None,-131.013,57.017,75,CA,MAWER,69,5,
G222987E58962N,None,-137.013,58.962,739,US,KASHOTO,140,5,
G222821E58871N,Tyeen Glacier,-137.179,58.871,781,US,TYEEN,136,5,
G211075E60552N,Trail Glacier,-148.925,60.552,780,US,TRAIL,1389,5,
G215973E62186N,None,-144.027,62.186,695,US,BETSELI,109,5,
G215902E62083N,Sanford Glacier,-144.098,62.083,717,US,DRUMSTICK,1373,5,
G215818E61990N,Chetaslina Glacier,-144.182,61.99,706,US,CHETASLINA,113,5,
G222974E58791N,Gilman Glacier,-137.026,58.791,728,US,GILMAN,138,5,
G216046E62056N,None,-143.954,62.056,752,US,NADINA,1378,5,
G214215E61168N,Worthington Glacier,-145.785,61.168,800,US,WORTHINGTON,153,5,
G220833E59999N,Variegated Glacier,-139.167,59.999,791,US,VARIEGATED,150,5,
G216152E69302N,McCall Glacier,-143.848,69.302,749,US,MCCALL,1388,5,G216152E69302N
G213683E63392N,Black Rapids Glacier,-146.317,63.392,696,US,BLACK RAPIDS,80,5,
G211358E60580N,Taylor Glacier,-148.642,60.58,776,US,TAYLOR US,93,5,
G223260E59066N,None,-136.74,59.066,788,US,UNNAMED US1334,120,5,
G087783E49100N,Kanasi Glacier,87.783,49.1,160,CN,HALASI GL.,851,5,
G087761E50048N,Malii Aktru,87.761,50.048,527,RU,MALIY AKTRU,795,5,
G087700E50080N,Levii Aktru,87.7,50.08,525,RU,LEVIY AKTRU,794,5,
G087720E50060N,Pravii Aktru,87.72,50.06,532,RU,PRAVIY AKTRU,831,5,
G073002E39198N,None,73.002,39.198,596,TJ,M. OKTYABRSKIY,710,5,G072999E39186N
G077080E43049N,Tsentralniy Tuyuksu Glacier,77.08,43.049,404,KZ,TS.TUYUKSUYSKIY,817,5,G077081E43044N
G073183E39306N,None,73.183,39.306,607,TJ,NO.042.14.03.17,2182,5,G073183E39306N
G098570E39226N,CN5Y432A0001 Bayi Glacier,98.57,39.226,184,CN,YANGLONGHE NO.5,837,5,G098570E39226N
G079787E42137N,None,79.787,42.137,390,KG,SOUTHERN INYLCHEK,10414,5,G080121E42063N
G072629E37727N,None,72.629,37.727,641,TJ,NO.394.14.03.15,2256,5,G072629E37727N
G071559E38666N,None,71.559,38.666,597,TJ,MAZARSKIY,746,5,
G072711E38812N,None,72.711,38.812,601,TJ,NICHKEDZHILGA,2134,5,G072705E38801N
G072695E38833N,None,72.695,38.833,666,TJ,NO.579.14.03.08,2136,5,G072685E38827N
G073461E38435N,None,73.461,38.435,642,TJ,NO.446.14.03.13,2203,5,G073461E38435N
G072798E39048N,None,72.798,39.048,647,TJ,NO.469.14.03.08,2109,5,G072805E39047N
G077277E43048N,None,77.277,43.048,394,KZ,BOGATYR,803,5,
G072799E39141N,None,72.799,39.141,688,TJ,ZULUMART,2100,5,G072801E39138N
G072709E38006N,None,72.709,38.006,612,TJ,NO.093.14.03.14,2222,5,G072709E38006N
G088313E43812N,CN5Y725D0005,88.313,43.812,174,CN,SIGONHE NO.5,862,5,G088313E43812N
G086801E43117N,CN5Y730C0029 Urumqi Source Glacier No1 W Br,86.801,43.117,179,CN,URUMQI GLACIER NO. 1 W-BRANCH,1512,5,G086801E43117N
G073693E39095N,None,73.693,39.095,602,TJ,NO.015.14.03.17,2190,5,G073691E39100N
G072525E37998N,None,72.525,37.998,609,TJ,NO.047.14.03.14,2216,5,
G072559E37965N,None,72.559,37.965,610,TJ,NO.052.14.03.14,2217,5,G072559E37965N
G072701E38850N,None,72.701,38.85,667,TJ,NO.582.14.03.08,2138,5,
G072906E39054N,None,72.906,39.054,683,TJ,VOLODARSKIY 3,2167,5,G072910E39052N
G072581E38811N,None,72.581,38.811,588,TJ,DZHAYLYAUKUMSAY,2142,5,G072595E38802N
G077101E42836N,None,77.101,42.836,362,KG,AKSU VOSTOCHNIY,784,5,G077100E42827N
G072240E38656N,None,72.24,38.656,598,TJ,MEDVEZHIY,716,5,G072229E38652N
G072722E37654N,None,72.722,37.654,680,TJ,URTA-BAKCHIGIR 2,2251,5,G072722E37654N
G073081E38118N,None,73.081,38.118,626,TJ,NO.208.14.03.14,2237,5,
G077314E43095N,None,77.314,43.095,400,KZ,KORZHENEVSKIY,1105,5,G077332E43068N
G073199E37935N,None,73.199,37.935,625,TJ,NO.174.14.03.14,2236,5,G073199E37935N
G097755E39237N,CN5Y437C0018 Qiyi Glacier,97.755,39.237,170,CN,QIYI,856,5,
G072944E39092N,None,72.944,39.092,627,TJ,NO.240.14.03.17,2162,5,G072941E39091N
G086810E43111N,CN5Y730C0029 Urumqi Source Glacier No1 E Br,86.81,43.111,178,CN,URUMQI GLACIER NO. 1 E-BRANCH,1511,5,G086810E43111N
